Name of Issuer,CUSIP,Value,Shares
ARCOS DORADOS HOLDINGS INC,G0457F107,16557,3060500
AUTONATION INC,05329W102,114701,1898716
BERKSHIRE HATHAWAY INC DEL,084670702,11805591,78625314
BP PLC,055622104,282302,7405614
CANADIAN NATL RY CO,136375102,1180213,17126874
CATERPILLAR INC DEL,149123101,1030706,11260857
COCA COLA FEMSA SAB DE CV,191241108,537697,6214719
CROWN CASTLE INTL CORP NEW,22822V101,419699,5332900
DIAMOND FOODS INC,252603105,294,10412
ECOLAB INC,278865100,456379,4366425
FEDEX CORP,31428X106,525321,3024999
GRUPO TELEVISA SA,40049J206,574902,16879103
LIBERTY GLOBAL PLC,G5480U104,106410,2119515
LIBERTY GLOBAL PLC,G5480U120,170656,3532529
REPUBLIC SVCS INC,760759100,54338,1350000
UNITED PARCEL SERVICE INC,911312106,503081,4525329
WAL-MART STORES INC,931142103,996466,11603000
WALGREENS BOOTS ALLIANCE INC,931427108,264825,3475398
WASTE MGMT INC DEL,94106L109,956280,18633672
